Date,"Total Users","Full Members",Guests,"Daily Active Users","Daily Users Posting Messages","Weekly Active Users","Weekly Users Posting Messages","Messages in Public Channels","Messages in Private Channels","Messages in Shared Channels","Messages in DMs","% of Messages Posted in Public Channels","% of Messages Posted in Private Channels","% of Messages Posted in DMs","% of Messages Read in Public Channels","% of Messages Read in Private Channels","% of Messages Read in DMs","Files Uploaded","Messages from Users",Name,"Public Workspace Channels","Messages Posted","Messages from Apps"
2017-02-06,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0
2017-02-07,5,5,0,5,3,5,3,12,0,0,1,0.9231,0,0.0769,0.7826,0,0.2174,2,13,0,5,55,2
2017-02-08,5,5,0,3,3,5,4,7,0,0,1,0.875,0,0.125,0.963,0,0.037,1,8,0,5,72,0
2017-02-09,5,5,0,3,3,5,4,4,0,0,8,0.3333,0,0.6667,0.5526,0,0.4474,2,12,0,5,91,0
2017-02-10,5,5,0,3,3,5,4,4,0,0,4,0.5,0,0.5,0.6087,0,0.3913,1,8,0,5,102,0
2017-02-11,5,5,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,102,0
2017-02-12,5,5,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,102,0
2017-02-13,5,5,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,102,0
2017-02-14,5,5,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,102,0
2017-02-15,5,5,0,3,3,4,4,12,0,0,0,1,0,0,1,0,0,2,12,0,5,116,0
2017-02-16,5,5,0,1,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,5,116,0
2017-02-17,5,5,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,116,0
2017-02-18,5,5,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,116,0
2017-02-19,5,5,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,116,0
2017-02-20,5,5,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,116,0
2017-02-21,6,6,0,1,1,3,3,0,0,0,1,0,0,1,0,0,1,0,1,0,5,120,0
2017-02-22,6,6,0,2,1,2,2,0,0,0,1,0,0,1,0.4,0,0.6,0,1,0,5,121,0
2017-02-23,6,6,0,3,2,3,3,6,0,0,0,1,0,0,1,0,0,0,6,0,5,127,0
2017-02-24,6,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,127,0
2017-02-25,6,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,127,0
2017-02-26,6,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,127,0
2017-02-27,6,6,0,3,2,3,3,4,0,0,0,1,0,0,0.95,0,0.05,1,4,0,5,133,0
2017-02-28,6,6,0,3,3,3,3,12,0,0,0,1,0,0,1,0,0,0,12,0,5,145,0
2017-03-01,6,6,0,2,2,3,3,5,0,0,0,1,0,0,1,0,0,0,5,0,5,150,0
2017-03-02,6,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,150,0
2017-03-03,6,6,0,2,1,3,3,1,0,0,0,1,0,0,1,0,0,0,1,0,5,151,0
2017-03-04,6,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,151,0
2017-03-05,6,6,0,1,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,5,151,0
2017-03-06,6,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,151,0
2017-03-07,6,6,0,1,1,2,2,1,0,0,0,1,0,0,1,0,0,0,1,0,5,152,0
2017-03-08,6,6,0,2,1,2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,5,153,0
2017-03-09,8,8,0,6,1,7,1,0,0,0,0,0,0,0,0.7143,0,0.2857,1,0,0,5,163,0
2017-03-10,8,8,0,3,3,7,3,2,0,0,6,0.25,0,0.75,0.0769,0,0.9231,0,8,0,5,174,0
2017-03-11,8,8,0,2,2,7,4,0,0,0,2,0,0,1,0,0,1,0,2,0,5,176,0
2017-03-12,8,8,0,2,0,7,4,0,0,0,0,0,0,0,0.6667,0,0.3333,0,0,0,5,176,0
2017-03-13,11,11,0,6,5,10,6,0,0,0,21,0,0,1,0.2857,0,0.7143,1,21,0,5,219,0
2017-03-14,11,11,0,6,5,10,7,8,0,0,0,1,0,0,0.8929,0,0.1071,0,8,0,5,230,0
2017-03-15,12,12,0,7,6,11,7,9,0,0,4,0.6923,0,0.3077,0.8864,0,0.1136,0,13,0,5,249,0
2017-03-16,12,12,0,8,3,10,7,3,0,0,4,0.4286,0,0.5714,0.6333,0,0.3667,0,7,0,5,257,0
2017-03-17,12,12,0,8,1,10,7,2,0,0,1,0.6667,0,0.3333,0.8333,0,0.1667,0,3,0,5,260,0
2017-03-18,12,12,0,3,1,9,6,1,0,0,0,1,0,0,1,0,0,0,1,0,5,262,0
2017-03-19,12,12,0,5,4,9,6,5,0,0,0,1,0,0,1,0,0,0,5,0,5,267,0
2017-03-20,12,12,0,5,2,9,6,2,0,0,0,1,0,0,0.9167,0,0.0833,1,2,0,5,271,0
2017-03-21,12,12,0,8,7,9,8,14,0,0,3,0.8235,0,0.1765,0.9296,0,0.0704,2,17,0,7,302,0
2017-03-22,12,12,0,8,5,9,8,2,0,0,14,0.125,0,0.875,0.4889,0,0.5111,1,16,0,7,322,0
2017-03-23,13,13,0,9,5,10,8,14,0,0,13,0.5185,0,0.4815,0.6981,0,0.3019,2,27,0,7,357,0
2017-03-24,13,13,0,5,3,9,8,3,0,0,3,0.5,0,0.5,0.6667,0,0.3333,1,6,0,7,365,0
2017-03-25,13,13,0,5,2,10,9,3,0,0,0,1,0,0,0.8889,0,0.1111,0,3,0,7,368,0
2017-03-26,13,13,0,3,1,10,10,1,0,0,0,1,0,0,1,0,0,0,1,0,7,369,0
2017-03-27,14,14,0,10,5,11,10,18,0,0,1,0.9474,0,0.0526,0.9538,0,0.0462,8,19,0,8,406,0
2017-03-28,14,14,0,10,5,12,10,32,0,0,1,0.9697,0,0.0303,0.9725,0,0.0275,4,33,0,8,447,0
2017-03-29,14,14,0,10,4,12,11,26,0,0,12,0.6842,0,0.3158,0.7333,0,0.2667,0,38,0,8,485,0
2017-03-30,14,14,0,9,4,12,11,18,0,0,0,1,0,0,1,0,0,3,18,0,8,509,0
2017-03-31,15,15,0,11,5,13,10,9,0,0,0,1,0,0,1,0,0,0,9,0,8,520,0
2017-04-01,15,15,0,7,1,13,10,1,0,0,0,1,0,0,1,0,0,0,1,0,8,522,0
2017-04-02,15,15,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,522,0
2017-04-03,15,15,0,10,3,13,9,3,0,0,6,0.3333,0,0.6667,0.7561,0,0.2439,0,9,0,8,536,0
2017-04-04,15,15,0,4,2,13,6,6,0,0,0,1,0,0,1,0,0,0,6,0,8,542,0
2017-04-05,15,15,0,6,1,13,5,0,0,0,0,0,0,0,1,0,0,2,0,0,8,544,0
2017-04-06,16,16,0,13,6,14,7,12,0,0,6,0.6667,0,0.3333,0.7719,0,0.2281,1,18,0,8,567,0
2017-04-07,16,16,0,12,4,14,8,9,0,0,2,0.8182,0,0.1818,0.9677,0,0.0323,1,11,0,8,581,0
2017-04-08,16,16,0,5,3,14,10,0,0,0,5,0,0,1,0.4286,0,0.5714,0,5,0,8,586,0
2017-04-09,16,16,0,5,1,14,10,4,0,0,1,0.8,0,0.2,0.6923,0,0.3077,0,5,0,8,591,0
2017-04-10,16,16,0,10,4,14,10,4,0,0,4,0.5,0,0.5,0.8293,0,0.1707,0,8,0,8,602,1
2017-04-11,16,16,0,7,5,14,11,2,0,0,8,0.2,0,0.8,0.4375,0,0.5625,0,10,0,8,611,0
2017-04-12,16,16,0,14,6,14,11,7,0,0,5,0.5833,0,0.4167,0.7045,0,0.2955,5,12,0,8,629,0
2017-04-13,16,16,0,11,3,14,8,2,0,0,15,0.1176,0,0.8824,0.44,0,0.56,0,17,0,8,647,0
2017-04-14,16,16,0,8,4,14,7,4,0,0,10,0.2857,0,0.7143,0.5714,0,0.4286,0,14,0,8,662,0
2017-04-15,16,16,0,4,0,14,7,0,0,0,0,0,0,0,1,0,0,0,0,0,8,662,0
2017-04-16,16,16,0,9,4,14,8,8,0,0,0,1,0,0,0.9583,0,0.0417,0,8,0,8,671,0
2017-04-17,16,16,0,12,7,14,10,16,0,0,1,0.9412,0,0.0588,0.9516,0,0.0484,1,17,0,9,695,0
2017-04-18,16,16,0,11,7,14,11,15,0,0,11,0.5769,0,0.4231,0.7606,0,0.2394,0,26,0,9,722,0
2017-04-19,16,16,0,11,5,14,11,7,0,0,0,1,0,0,1,0,0,3,7,0,9,733,0
2017-04-20,16,16,0,8,7,14,11,16,0,0,4,0.8,0,0.2,0.8511,0,0.1489,1,20,0,9,753,0
2017-04-21,16,16,0,14,5,15,13,12,0,0,0,1,0,0,1,0,0,4,12,0,9,772,0
2017-04-22,16,16,0,4,2,15,13,0,0,0,48,0,0,1,0.0674,0,0.9326,0,48,0,9,820,0
2017-04-23,16,16,0,7,3,15,13,5,0,0,0,1,0,0,0.9375,0,0.0625,0,5,0,9,825,0
2017-04-24,16,16,0,15,4,15,13,15,0,0,2,0.8824,0,0.1176,1,0,0,0,17,0,9,844,0
2017-04-25,16,16,0,10,6,15,13,3,0,0,8,0.2727,0,0.7273,0.619,0,0.381,3,11,0,9,859,0
2017-04-26,16,16,0,13,7,15,14,14,0,0,11,0.56,0,0.44,0.7407,0,0.2593,4,25,0,9,892,0
2017-04-27,16,16,0,14,4,15,14,9,0,0,0,1,0,0,0.9828,0,0.0172,0,9,0,9,903,0
2017-04-28,16,16,0,15,7,15,11,17,0,0,1,0.9444,0,0.0556,0.9474,0,0.0526,3,18,0,9,927,0
2017-04-29,16,16,0,8,2,15,12,3,0,0,0,1,0,0,0.95,0,0.05,0,3,0,9,930,0
2017-04-30,16,16,0,7,1,15,12,0,0,0,0,0,0,0,1,0,0,0,0,0,9,931,0
2017-05-01,16,16,0,13,6,15,13,18,0,0,0,1,0,0,0.9877,0,0.0123,0,18,0,9,952,0
2017-05-02,16,16,0,10,3,15,13,4,0,0,0,1,0,0,1,0,0,3,4,0,9,959,0
2017-05-03,16,16,0,3,0,15,13,0,0,0,0,0,0,0,0.8333,0,0.1667,0,0,0,9,959,0
2017-05-04,16,16,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,959,0
2017-05-05,16,16,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,959,0
2017-05-06,16,16,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,959,0
2017-05-07,16,16,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,959,0
2017-05-08,16,16,0,14,7,14,8,15,0,0,4,0.7895,0,0.2105,0.9196,0,0.0804,7,19,0,9,986,0
2017-05-09,16,16,0,13,6,14,8,14,0,0,0,1,0,0,1,0,0,0,14,0,9,1003,0
2017-05-10,16,16,0,12,4,14,10,10,0,0,9,0.5263,0,0.4737,0.8525,0,0.1475,1,19,0,10,1038,0
2017-05-11,16,16,0,11,7,14,11,1,0,0,24,0.04,0,0.96,0.3636,0,0.6364,2,25,0,10,1065,0
2017-05-12,16,16,0,13,7,14,11,24,0,0,2,0.9231,0,0.0769,0.9538,0,0.0462,0,26,0,10,1093,0
2017-05-13,16,16,0,2,0,14,11,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,10,1093,0
2017-05-14,16,16,0,2,0,14,11,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1093,0
2017-05-15,16,16,0,14,7,14,12,28,0,0,5,0.8485,0,0.1515,0.8867,0,0.1133,6,33,0,10,1135,0
2017-05-16,16,16,0,9,0,14,12,0,0,0,0,0,0,0,0.8824,0,0.1176,0,0,0,10,1136,0
2017-05-17,16,16,0,10,5,14,12,27,0,0,0,1,0,0,0.9857,0,0.0143,1,27,0,10,1165,0
2017-05-18,16,16,0,13,5,14,11,4,0,0,0,1,0,0,1,0,0,2,4,0,10,1177,0
2017-05-19,16,16,0,11,6,14,10,16,0,0,7,0.6957,0,0.3043,0.7778,0,0.2222,1,23,0,10,1201,0
2017-05-20,16,16,0,3,1,14,10,0,0,0,1,0,0,1,0.6,0,0.4,0,1,0,10,1202,0
2017-05-21,16,16,0,2,0,14,10,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1202,0
2017-05-22,16,16,0,13,7,14,11,10,0,0,18,0.3571,0,0.6429,0.5679,0,0.4321,0,28,0,10,1232,0
2017-05-23,16,16,0,9,8,14,12,5,0,0,26,0.1613,0,0.8387,0.6048,0,0.3952,7,31,0,10,1278,0
2017-05-24,16,16,0,11,7,14,12,5,0,0,11,0.3125,0,0.6875,0.7143,0,0.2857,3,16,0,10,1296,0
2017-05-25,17,17,0,13,8,14,13,18,0,0,5,0.7826,0,0.2174,0.8605,0,0.1395,0,23,0,10,1323,0
2017-05-26,17,17,0,12,6,14,12,20,0,0,11,0.6452,0,0.3548,0.7442,0,0.2558,3,31,0,10,1363,1
2017-05-27,17,17,0,1,0,14,12,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1363,0
2017-05-28,17,17,0,10,2,15,12,3,0,0,0,1,0,0,1,0,0,0,3,0,10,1366,0
2017-05-29,17,17,0,14,7,15,12,8,0,0,19,0.2963,0,0.7037,0.6768,0,0.3232,0,27,0,10,1399,0
2017-05-30,17,17,0,4,0,15,12,0,0,0,0,0,0,0,0.4,0,0.6,0,0,0,10,1402,0
2017-05-31,18,18,0,12,5,16,12,2,0,0,24,0.0769,0,0.9231,0.3836,0,0.6164,0,26,0,10,1435,0
2017-06-01,18,18,0,11,3,16,10,4,0,0,35,0.1026,0,0.8974,0.3667,0,0.6333,0,39,0,10,1475,0
2017-06-02,18,18,0,10,3,16,9,11,0,0,1,0.9167,0,0.0833,0.9355,0,0.0645,0,12,0,10,1490,0
2017-06-03,18,18,0,1,0,16,9,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1490,0
2017-06-04,18,18,0,4,1,16,9,1,0,0,0,1,0,0,0.8571,0,0.1429,0,1,0,10,1491,0
2017-06-05,18,18,0,13,5,16,8,5,0,0,5,0.5,0,0.5,0.7419,0,0.2581,2,10,0,10,1505,0
2017-06-06,18,18,0,9,5,15,9,8,0,0,2,0.8,0,0.2,0.7586,0,0.2414,2,10,0,10,1519,0
2017-06-07,18,18,0,11,9,15,10,33,0,0,17,0.66,0,0.34,0.7677,0,0.2323,0,50,0,10,1570,0
2017-06-08,18,18,0,9,5,15,12,10,0,0,8,0.5556,0,0.4444,0.7273,0,0.2727,0,18,0,10,1588,0
2017-06-09,18,18,0,5,0,15,12,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1588,0
2017-06-10,18,18,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1588,0
2017-06-11,18,18,0,3,1,15,12,1,0,0,0,1,0,0,1,0,0,0,1,0,10,1590,0
2017-06-12,18,18,0,14,7,16,12,23,0,0,1,0.9583,0,0.0417,0.9355,0,0.0645,0,24,0,10,1619,1
2017-06-13,18,18,0,13,7,16,12,14,0,0,7,0.6667,0,0.3333,0.8625,0,0.1375,2,21,0,10,1642,0
2017-06-14,18,18,0,11,5,15,11,6,0,0,0,1,0,0,1,0,0,1,6,0,10,1654,0
